Id,Input Text,Explanation
0,"hey man, you wanna buy some weed?","

Question is the most likely dialogueact, because the request for information is made by the sender of the message. 
  In this case, man. The sender is seeking information about the identity of a person, and is therefore using the question word.

"
1,some what?,"

In this example, inform is a better choice than question because the provided text does provide information, but it does so by providing the information rather than asking for it. In other words, it is not a ""question about information.""

A:
According to the Stanford CoreNLP toolkit, ""Question"" is the correct answer.

"
2,"weed! you know? pot, ganja, mary jane some chronic!","

Out of question: the statement 'you know?' is not a request for information. Rather, this is a comment on a person's knowledge or lack of knowledge. 
  
  Out Of question and directive: although the sentence does contain a direct request, i.e. 'tell me', the response does provide assurance, confirmation, and not information, by stating 'pot,ganja and mj'. 
   
Question: question dialogue acts are used to probe for knowledge, while inform acts convey information and are not used for probing. Therefore, in this case, inform is the correct classification.

"
3,"oh, umm, no thanks.","

 commissives are used to express wishes, commands, and other requests. In this case, it is likely that the person asking the question is feeling poorly and is looking for advice or reassurance. 
  
question: is this a good idea?
directive: please take this medication
inform: you have had a headache for the past few days and you are currently feeling nauseous
commissive : i think you should see a doctor

In this example, inform is the correct choice because it best matches the context of the sentence. The doctor should be informed of their condition, not asked to take action.

"
4,i also have blow if you prefer to do a few lines.,"

inform: This is information we need to know to help make the right decisions
question: Is this information correct? Is there more information that we should know?
directive: Do this! Do that! Move forward!
commissive : No, don't do that. Wait until tomorrow. This will mess up your plans. I'm not going to be able to make it.

"
5,"no, i am ok, really.","

In this example, ""i am so sorry"" is an apology, not a description of a bad situation that led to being so Late. 
""i had"" indicates a past action, so the ""day"" described in the next sentence is a continuation of ""the bad"" from the previous sentence.

"
6,come on man! i even got dope and acid! try some!,"

directive is a directive dialogueact, where the speaker is trying to get the listener to do something. In this case, it's the subject of the sentence, ""try some!"". The directive act can also be used as a general purpose act, to express a request or order. 
  

overinform: the information provided is not particularly useful or helpful. This is because the provided information is either not true, does not apply to the situation, is too general, etc. Overinform is used when the actual information that is needed is provided later in the conversation. For example, if I ask you where a car is, and you tell me that the car you are looking for is in a nearby parking lot, I would consider this overinform, because I already know where your car resides. I need to know more about the specifics of your situation to provide the needed information. 
question: this act describes a conversation where two people are communicating with each other. One person is asking a direct question to another person. They are not necessarily trying get a response from the other person, but they are just trying make sense of something, find an answer, understand something better. So, in this example the question act.  The question is ""where is the parking?"". And the answer is given by the person who is looking in their car for the parked car. ""In a nearby parking."". Here the direct answer was given, so the act was classified out of question. However, this is an example of a dialogue where there is no promise or command given. If the same conversation was about a pizza place, then the command act might be more appropriate. But in general the promise act and command acts are used in conjunction with questions.   
inform (question): this acts describes the first person asking the second person a specific question or making a statement. Then the inform act takes place. After the ask or statement, there might or might not be a follow up question from second. Sometimes the followup question might even be from third person or someone else. Like in example 1, after the ""Where is it?"" the inquirer might get another answer ""in a parking"". Inform is also used to describe a situation where someone is giving information to someone. Example 2. A person might say ""I am going to a party tomorrow and I will bring some alcohol. Please don't tell anyone"". This act could also describe the action of someone giving a gift to other, like a present.

"
7,do you really have all of these drugs? where do you get them from?,"

Mike is asking K. where she gets her drugs from. 
  This is a direct question where Mike is seeking information from K., who is the recipient of the question.

"
8,i got my connections! just tell me what you want and i ’ ll even give you one ounce for free.,"

Directive is a directive act, and inform is the most common of the four possible dialogue acts. The other three are question (asking a clarifying question), command (giving a direct order), and commissIVE (making a commitment). The Commissive act includes promises, but the one in this example is not a Promise. 
  

A:
According to the dialogue chart, this is directive.  Directives are commands, questions are questions, requests are requests, etc.

"
9,"sounds good! let ’ s see, i want.","

 commissives are used when the speaker is trying to get the other person to do something. For example, if I ask you to pass the salt, you would respond to me with a commissIVE message, such as ""sure, let’s go over to the table and pass it there.""

In this case, it sounds like the person is asking what they were. If I were to respond, I would use the question word ""What"" to clarify what was asked.

"
