User text,Golden label,Parsed text,Correctness
Could you tell me a bit more about what this is?,self,self,
could you show me data point number 1899,filter id 1899 and show,filter id 1899 and show,
what's the source of the training data?,data train_data_source,data train_data_source,
inform me about the test data name,data test_data_name,data test_data_name,
show me the ids,countdata,countdata,
predict 320,filter id 320 and predict,filter id 320 and predict,
give me an output for a randomly picked input,randompredict,randompredict,
could you randomly select an example and predict it?,randompredict,randompredict,
pick a random data point and show the predicted result,randompredict,randompredict,
what does the model predict on all the training data,predict,predict,
what is the macro-f1 score?,score f1,score f1 macro,
"when scoring False, what's the model's accuracy?",score accuracy,score accuracy False,
what is the f1 score on the evaluation data,score f1,score f1 evaluation,
can you tell me how many data points is the model predicting incorrectly?,mistake count,mistake count,
can you demonstrate how many data points are predicted wrongly?,mistake count,mistake count,
show me data the model gets wrong,mistake sample,mistake sample,
could you show me some data the model predicts incorrectly?,mistake sample,mistake sample,
can you provide me an instance that is analogous to id 659,filter 659 and similar 1,mistake sample,
could you give me 5 analogous data points to id 1287,filter 1287 and similar 5,mistake sample,
keywords all,keywords,keywords,
which feature is most significant for data point 221,filter id 221 and nlpattribute all,filter id 221 and nlpattribute all,
most critical feature for id 2332,filter id 2332 and nlpattribute all,filter id 2332 and nlpattribute all,
can you tell me the main features for instance 23,filter id 23 and nlpattribute all,filter id 23 and nlpattribute all,
please explain the prediction of id 3046 based on which sentences were most salient,filter id 3046 and nlpattribute sentence,filter id 3046 and nlpattribute all,
please show me the most contributing words with label False.,important 1,important False,
deliver a natural language description for id 1358,filter id 1358 and rationalize,filter id 1358 and rationalize,
clarify the reasoning behind id 1699,filter id 1699 and rationalize,filter id 1699 and rationalize,
how do i change the prediction for the data point with id number 3121,filter id 3121 and cfe,filter id 3121 and cfe,
can i see an instance modification from id 2123,filter id 2123 and augment,filter id 2123 and augment,
please create a new instance based on id 2269,filter id 2269 and augment,filter id 2269 and augment,
what methods do you use to come to predict dummy?,important dummy [e],important all,
in what ways do you determine if data will be predicted question?,important question [e],important question,
