User text,Golden label,Parsed text,Correctness
please display id 1,filter id 1 and show,filter id 1 and show,1
Could you tell me a bit more about what this is?,self,self,1
What can you do?,function,function,1
how many training data points are present?,countdata,countdata,1
could you please tell me the sources of the test data?,data test_data_source,data test_data_source,1
what are the labels for all the data,label,label,1
for id 2925 please provide the prediction.,filter id 2925 and predict,filter id 2925 and predict,1
predict one instance from the data at random,randompredict,randompredict,1
could you show me the predictions on all the data?,predict,predict,1
what's the chance instance id 2698 is scored as True,filter id 2698 and likelihood True,filter id 2698 and likelihood True,1
what's the rate you do correct predictions?,score default,score default,1
can you demonstrate how many data points are predicted wrongly?,mistake count,mistake count,1
what are some data points you get incorrect?,mistake sample,mistake sample,1
can you please retrieve an instance that is similar to id 2302,filter id 2302 and similar,filter id 2302 and similar,1
show the most frequent keywords in the dataset,keywords all,keywords all,1
i was wondering what are the most important features for instance 2116,filter id 2116 and nlpattribute all,filter id 2116 and nlpattribute all,1
explain the model's predictions on the data,important all,important all,1
i would like to see the top attributed tokens with label False.,important False,important False,1
expound on id 355 with an explanation,filter id 355 and rationalize,filter id 355 and rationalize,1
what are the most important tokens in id 1,filter id 1 and nlpattribute all,filter id 1 and nlpattribute all,1
could you locate 6 comparable data point to id 1 for me?,filter id 1 and similar 6,filter id 1 and similar 6,1
most impactful feature for the id: 2443,filter id 2443 and nlpattribute topk 1,filter id 2443 and nlpattribute all,1
can you tell me how to change the prediction for id 1,filter id 1 and cfe,filter id 1 and cfe,1
give the importance scores for the sentence,nlpattribute,important all,0
show me some data you predict incorrectly,mistake sample,mistake sample,1
for 84 please show me the values of the features.,filter id 84 and show,filter id 84 and show,1
which languages does the data for training contain?,data train_data_language,data train_data_language,1
probability that id 2167 is predicted as "commissive" from the model,filter id 2167 and likelihood commissive,filter id 2167 and likelihood,0
could you show me some data the model predicts incorrectly?,mistake sample,mistake sample,1
please provide me with 3 examples that are similar to id 573,filter id 573 and similar 3,filter id 573 and similar 3,1
which five words occur the most in the data?,keywords 5,keywords 5,1
show me the 5 most important features for data point 46,filter id 46 and nlpattribute topk 5,filter id 46 and nlpattribute topk 5,1
please explain the prediction of id 2235 based on which sentences were most salient,filter id 2235 and nlpattribute sentence,filter id 2235 and nlpattribute all,0
what are the top 2 most important features,important topk 2,important topk 2,1
how do you figure out if data points are commissive,important commissive,important commissive,1
simplify the explanation for id 1631,filter id 1631 and rationalize,filter id 1631 and rationalize,1
what does instance with id 571 have to do in order to change the prediction?,filter id 571 and cfe,filter id 571 and cfe,1
can you create an instance that would mislead the model for id 300,filter id 300 and adversarial,filter id 300 and adversarial,1
give me the feature important score,important all,important all,1
give me similar text,similar,similar,1
give me some similar text,similar,similar,1
predict,predict,predict,1
feature importance,important all,important all,1
show me the feature importance for id 1070 on sentence level,filter id 1070 and nlpattribute sentence,filter id 1070 and nlpattribute,0
give an account for id 1300 with justification,filter id 1300 and rationalize,filter id 1300 and rationalize,1
what's the source of the training data?,data train_data_source,data train_data_source,1
inform me about the test data name,data test_data_name,data test_data_name,1
what are the true labels in the dataset and how often do they occur?,label,keywords all,0
please choose one input text and show the model's outcome,randompredict,randompredict,1
language of training data,data train_data_language,data train_data_language,1
where does training data come from,data train_data_source,data train_data_source,1
test partition languages,data test_data_language,score default,0
could you show me how the data is labelled?,label,data train_data_name,0
how often does the label "offensive" appears in the dataset ?,label,countdata,0
predict instance with id 1,filter id 1 and predict,filter id 1 and predict,1
generate a prediction for a randomly chosen example,randompredict,randompredict,1
what is the probability that id 1918 is predicted as offensive by the model?,filter id 1918 and likelihood offensive,filter id 1918 and likelihood offensive,1
what's the chance instance id 1381 is scored as non-offensive,filter id 1381 and likelihood non-offensive,filter id 1381 and likelihood non-offensive,1
can you tell me how many data points is the model predicting incorrectly?,mistake count,mistake count,1
could you show me a few examples of data that you get wrong?,mistake sample,mistake sample,1
show me a data point that is analogous to id 2583,filter id 2583 and similar,filter id 2583 and similar,1
show me a similar data point to id 40,filter id 40 and similar,filter id 40 and similar,1
what are the reasons for predicting id 40 and why do you predict this instance?,filter id 40 and nlpattribute all,filter id 40 and nlpattribute all,1
what are the major features for instance 40,filter id 40 and nlpattribute all,filter id 40 and nlpattribute all,1
what are the most important sentences for id 2479,filter id 2479 and nlpattribute sentence,filter id 2479 and nlpattribute sentence,1
what are the reasons for predicting id 40 and why do you predict this instance?,filter id 40 and nlpattribute all,filter id 40 and nlpattribute all,1
show the feature importances,important all,important all,1
how do you figure out if data points are offensive,important offensive,important offensive,1
what methods do you use to come to predict offensive?,important offensive,important offensive,1
what methods do you use to come to predict non-offensive?,important non-offensive,important non-offensive,1
rationalize the prediction for id 82,filter id 82 and rationalize,filter id 82 and rationalize,1
explain id 40 in natural language,filter id 40 and rationalize,filter id 40 and rationalize,1
nice. i'm pretty satisfied with the prediction of id 177 but could you tell me how to change the prediction?,filter id 177 and cfe,filter id 177 and cfe,1
could you tell me how to change the prediction of id 40,filter id 40 and cfe,filter id 40 and cfe,1
what would an adversarial attack look like for instance 2075,filter id 2075 and adversarial,filter id 2075 and adversarial,1
what would an adversarial attack look like for instance 40,filter id 40 and adversarial,filter id 40 and adversarial,1
please augment id 290,filter id 290 and augment,filter id 290 and augment,1
augment id 40,filter id 40 and augment,filter id 40 and augment,1
why do you predict this,nlpattribute all,nlpattribute all,1
what is the most important sentence,nlpattribute sentence,important all,0
why do you predicted this as offensive,nlpattribute all offensive,nlpattribute all offensive,1
perform an adversary attack,adversarial,model model_summary,0
what are the most important sentences,nlpattribute sentence,important all,0
